travel_days,photo_num,person_num_qinzi,title_length,playmode1,playmode2,read_num_transformed
1.988024129,1.09215225,0,-1.612089932,1,1,8.212297138
0.653399142,0.437342562,0,-0.63640008,1,1,9.01225522
1.098274138,-0.270274358,0,0.729565714,0,1,8.761706768
-0.681225844,0.278920863,0,1.314979626,1,1,9.063115652
0.208524147,-0.470941843,0,-1.612089932,0,1,7.852439085
-0.681225844,0.880923318,0,-1.026676021,1,1,8.431417414
1.988024129,0.469026902,0,1.510117596,0,1,8.786762208
-0.236350849,-0.354765931,0,1.119841655,0,1,8.979920412
1.098274138,-0.661047882,0,-1.026676021,1,1,9.472704636
1.098274138,0.247236524,0,-0.63640008,0,1,9.952277717
1.098274138,-0.027361087,0,1.314979626,0,1,9.852194258
-0.236350849,-0.249151465,0,-0.441262109,0,1,8.361007108
-0.236350849,-0.291397252,0,-0.83153805,0,1,8.970432074
-0.681225844,-0.291397252,0,0.729565714,0,1,8.329899293
-1.12610084,-0.037922534,0,0.924703684,0,1,9.472704636
-1.12610084,-0.41813461,0,-1.807227903,0,1,7.83715965
1.543149133,-0.713855115,0,1.510117596,0,1,7.531552381
1.543149133,-0.439257504,0,0.924703684,0,1,8.306965865
-0.236350849,-0.397011717,0,0.729565714,1,0,7.564757013
-0.236350849,-0.185782786,0,0.924703684,0,1,8.679822115
0.208524147,-0.312520145,0,1.119841655,0,1,9.028098812
1.098274138,-0.206905679,0,0.339289773,0,1,8.03592637
1.098274138,-0.428696057,0,-0.050986168,1,1,7.828436359
0.653399142,0.25779797,0,-0.83153805,1,1,7.428927195
-0.236350849,-0.312520145,0,1.314979626,1,0,8.525756422
-1.12610084,-0.41813461,0,1.119841655,1,0,7.271008538
0.208524147,-0.154098446,0,0.924703684,0,1,9.472704636
0.208524147,-0.840592473,1,-1.026676021,0,1,7.512617545
0.208524147,-0.301958698,0,0.534427743,0,1,7.462789157
-0.236350849,0.426781115,0,0.924703684,0,1,7.941295571
-0.681225844,-0.397011717,0,0.339289773,0,1,7.190676034
-2.015850831,-0.861715367,0,-0.63640008,1,1,7.677400431
-1.570975835,-0.85115392,0,0.339289773,0,1,7.424165281
1.543149133,-0.523749076,0,0.534427743,1,1,9.305650552
-1.12610084,-0.903961153,0,-0.63640008,1,1,7.357556201
0.208524147,-0.51318763,0,-1.221813991,0,1,7.014814351
0.653399142,-0.935645493,0,-1.416951962,0,1,8.679652119
1.543149133,-0.766662347,0,1.314979626,0,1,9.952277717
-1.12610084,-0.830031027,0,-1.416951962,1,1,7.013915475
-1.570975835,-0.830031027,0,-0.63640008,1,1,6.746412129
-0.236350849,-0.787785241,0,-1.612089932,0,1,6.826545224
-1.12610084,-0.375888824,0,0.534427743,0,1,7.365812837
1.098274138,-0.682170775,0,0.534427743,1,1,7.463363046
0.208524147,-0.713855115,0,-0.441262109,0,1,7.224753406
-1.12610084,-0.777223794,0,-1.221813991,0,1,8.569975377
-0.236350849,-0.861715367,0,-1.416951962,0,1,8.355379895
-1.570975835,-0.872276813,1,0.534427743,0,1,7.020190708
-1.570975835,-0.85115392,0,1.510117596,0,1,6.892641641
1.098274138,0.69081728,0,0.534427743,1,1,8.538367427
-1.570975835,-0.925084046,0,0.144151802,0,1,6.436150368
1.543149133,1.113275143,0,1.119841655,1,1,8.46019947
1.988024129,-0.132975553,0,1.119841655,1,1,8.951699168
0.208524147,1.049906463,0,1.119841655,1,1,8.325063694
