read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
6159.0,3000,3,184,0,0,1,0,0,0,1,23,1,1.0
3050.0,22500,4,285,0,0,0,1,0,0,0,18,0,1.0
14000.0,8000,8,217,0,0,1,0,0,0,1,20,1,1.0
7080.0,3500,7,236,0,1,0,0,0,0,0,12,1,1.0
23000.0,6000,3,207,1,0,0,0,0,0,1,11,1,1.0
23000.0,5000,4,323,0,1,0,0,0,0,0,19,0,1.0
23000.0,3000,8,268,0,1,0,0,0,0,0,19,1,1.0
7928.0,4750,5,133,0,0,0,1,0,0,0,20,1,1.0
7244.0,4000,5,180,0,0,0,1,0,0,0,12,0,1.0
19000.0,5000,5,143,0,0,1,0,0,0,0,18,0,1.0
3050.0,4000,5,52,0,0,0,1,0,0,0,11,1,1.0
6449.0,1000,0,60,1,0,0,0,0,0,1,5,1,1.0
4013.0,1700,6,98,0,0,1,0,0,0,1,19,0,1.0
2887.0,1700,6,234,0,0,0,1,0,0,0,10,1,1.0
6003.0,2800,7,101,0,1,0,0,0,0,0,19,1,1.0
23000.0,4500,7,56,0,0,1,0,0,0,1,13,1,0.0
5738.0,4500,7,61,0,0,1,0,0,0,1,19,1,1.0
14000.0,5300,5,127,0,0,0,0,1,0,1,20,0,1.0
4630.0,7000,4,148,1,0,0,0,0,0,1,15,1,1.0
4506.0,10000,7,108,0,1,0,0,0,0,0,19,0,1.0
2729.0,4600,7,54,0,0,0,0,0,1,1,9,0,1.0
8607.0,4000,7,239,1,0,0,0,0,0,1,30,1,1.0
14000.0,5000,4,202,1,0,0,0,0,0,0,10,1,0.0
7392.0,1300,4,21,0,1,0,0,0,0,0,10,0,1.0
26000.0,894,3,40,0,0,0,0,0,1,1,16,0,1.0
4496.0,3500,8,18,0,0,1,0,0,0,1,18,0,1.0
4150.0,3500,7,117,0,0,1,0,0,0,1,17,1,1.0
1916.0,3000,7,60,0,0,0,1,0,0,0,15,1,1.0
5861.0,5000,6,53,0,0,0,0,0,1,0,9,0,1.0
5143.0,3000,5,66,0,0,1,0,0,0,0,17,1,1.0
5322.0,3500,5,219,0,0,0,1,0,0,0,10,1,0.0
11000.0,3648,4,32,0,0,0,1,0,0,0,19,1,1.0
5151.0,1000,3,56,1,0,0,0,0,0,0,7,0,1.0
4408.0,5000,4,166,0,0,0,1,0,0,0,12,0,1.0
2587.0,4000,4,87,0,0,0,1,0,0,0,20,0,1.0
5708.0,4000,6,51,0,1,0,0,0,0,1,19,1,1.0
3682.0,3500,7,173,0,0,0,1,0,0,1,16,1,1.0
17000.0,1500,6,44,0,0,0,1,0,0,0,20,0,1.0
1611.0,4000,4,61,0,0,0,0,0,1,0,16,0,1.0
7175.0,120,1,89,1,0,0,0,0,0,1,16,1,0.0
5155.0,1300,3,39,0,0,0,1,0,0,0,15,0,1.0
2820.0,3000,5,179,0,0,0,0,0,1,1,3,0,1.0
4905.0,5000,6,96,0,0,0,1,0,0,1,2,0,1.0
3825.0,6500,5,125,0,0,0,1,0,0,0,15,1,1.0
2788.0,8000,6,159,0,0,0,1,0,0,0,7,0,1.0
2748.0,4500,6,52,0,0,0,1,0,0,0,20,0,1.0
1656.0,3000,5,33,0,0,1,0,0,0,1,13,0,1.0
3072.0,3750,4,34,0,0,0,1,0,0,0,20,0,1.0
1989.0,4600,3,63,1,0,0,0,0,0,0,20,1,0.0
19000.0,4600,5,54,0,0,0,0,0,1,1,7,1,0.0
5002.0,1000,2,84,1,0,0,0,0,0,0,15,0,1.0
4643.0,2200,2,25,1,0,0,0,0,0,1,11,0,1.0
5609.0,3000,3,118,0,0,0,0,1,0,1,7,0,1.0
122000.0,1500,4,43,0,1,0,0,0,0,0,20,1,1.0
36000.0,1500,7,119,0,1,0,0,0,0,0,4,1,1.0
2977.0,6000,5,66,0,0,0,1,0,0,0,7,1,1.0
2683.0,3500,5,73,0,0,0,1,0,0,1,15,1,1.0
1545.0,4500,8,20,0,1,0,0,0,0,1,17,1,0.0
1632.0,8000,2,20,0,0,0,1,0,0,0,11,0,1.0
1972.0,2800,5,55,0,0,0,0,1,0,1,20,1,1.0
1872.0,3500,6,81,0,0,0,0,0,1,1,19,1,1.0
1510.0,8000,2,38,0,0,0,1,0,0,0,14,0,1.0
1622.0,5000,2,84,0,0,0,0,0,1,0,10,0,1.0
2067.0,3000,4,70,0,0,1,0,0,0,0,18,0,1.0
3479.0,4000,5,85,0,1,0,0,0,0,0,20,0,1.0
3081.0,2800,6,75,0,0,0,1,0,0,0,10,0,1.0
2310.0,7000,7,50,0,0,0,0,0,1,0,20,0,1.0
3613.0,4000,5,72,0,0,0,1,0,0,1,9,0,1.0
2655.0,2000,6,40,0,0,0,1,0,0,1,19,0,1.0
1619.0,2200,4,34,0,0,0,1,0,0,0,4,1,0.0
5951.0,2000,4,76,0,0,0,1,0,0,0,8,0,1.0
7005.0,8500,4,107,0,0,0,0,0,1,0,7,1,1.0
2216.0,5000,6,30,1,0,0,0,0,0,0,4,1,0.0
2022.0,5000,5,44,1,0,0,0,0,0,0,19,0,1.0
2226.0,12000,6,38,0,0,0,1,0,0,0,14,0,1.0
2446.0,5000,6,23,0,1,0,0,0,0,0,16,0,1.0
3071.0,3000,3,28,1,0,0,0,0,0,0,15,1,0.0
1531.0,99999999,1,14,0,1,0,0,0,0,0,5,1,0.0
2227.0,6000,6,96,0,0,0,1,0,0,0,5,0,1.0
17000.0,5000,9,325,0,0,1,0,0,0,0,9,0,1.0
21000.0,4100,7,181,0,0,0,0,0,1,0,12,1,1.0
33000.0,2000,4,124,1,0,0,0,0,0,0,19,1,1.0
28000.0,2400,8,204,1,0,0,0,0,0,0,13,1,1.0
27000.0,4000,7,104,0,0,0,1,0,0,0,20,0,1.0
3686.0,4000,9,192,0,0,0,1,0,0,1,4,1,1.0
8203.0,1000,6,130,1,0,0,0,0,0,0,9,1,1.0
6385.0,3600,7,63,0,0,0,0,0,1,1,16,0,1.0
8631.0,2000,3,115,1,0,0,0,0,0,0,19,1,1.0
2572.0,2130,5,44,0,0,0,0,1,0,0,4,0,1.0
4589.0,6500,3,172,0,0,0,1,0,0,0,7,1,1.0
6547.0,5000,9,133,1,0,0,0,0,0,1,20,0,1.0
7942.0,2000,4,55,0,0,0,1,0,0,1,18,0,1.0
13000.0,4000,7,26,0,0,0,1,0,0,1,7,1,1.0
21000.0,6000,7,112,0,0,0,1,0,0,0,9,0,1.0
19000.0,4500,7,86,0,0,0,1,0,0,0,19,0,1.0
4277.0,3000,4,65,0,0,0,1,0,0,0,10,0,1.0
7867.0,2000,4,61,0,0,0,0,1,0,0,8,0,1.0
4146.0,8000,3,61,0,0,0,1,0,0,1,16,0,1.0
13000.0,500,2,85,1,0,0,0,0,0,0,17,0,1.0
2533.0,1500,2,49,0,0,0,0,1,0,0,3,0,1.0
1866.0,5000,8,21,1,0,0,0,0,0,1,20,0,1.0
4052.0,5000,8,47,0,0,1,0,0,0,1,17,0,1.0
1929.0,4000,4,51,1,0,0,0,0,0,0,16,1,0.0
5883.0,4000,4,71,0,0,0,0,0,1,0,17,0,1.0
8334.0,5000,5,59,0,0,0,1,0,0,0,18,0,1.0
3090.0,4000,7,69,0,0,0,1,0,0,0,14,0,1.0
2511.0,4500,7,48,0,0,0,0,0,1,0,12,1,1.0
1684.0,2000,6,113,0,0,0,1,0,0,0,8,1,1.0
5043.0,5000,4,59,0,0,0,1,0,0,0,19,1,0.0
1438.0,9000,2,49,0,0,1,0,0,0,1,18,1,0.0
13000.0,5000,5,74,0,0,0,1,0,0,0,17,0,1.0
1831.0,2000,5,9,0,1,0,0,0,0,0,7,0,1.0
