per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
2200,3,157,0,0,0,1,0,0,1,22,1.0,1,1.0
4000,3,91,1,0,0,0,0,0,1,18,1.0,1,1.0
2000,4,99,0,0,0,0,0,1,0,37,1.0,1,1.0
6000,6,71,0,0,0,0,1,0,0,20,0.0,1,0.0
6000,8,199,0,0,0,1,0,0,0,23,0.0,1,1.0
3000,1,34,0,1,0,0,0,0,0,17,1.0,0,1.0
5500,6,154,0,0,0,0,0,1,0,16,1.0,1,1.0
3000,3,92,1,0,0,0,0,0,0,24,0.0,1,1.0
3500,4,104,0,0,1,0,0,0,0,7,1.0,0,1.0
3800,6,117,1,0,0,0,0,0,0,18,0.0,1,1.0
6000,5,183,0,0,0,1,0,0,0,18,0.0,1,1.0
4000,4,101,0,0,0,1,0,0,0,26,0.0,0,1.0
3000,5,84,0,1,0,0,0,0,0,15,0.0,1,1.0
7000,7,77,0,0,1,0,0,0,0,9,1.0,1,1.0
3000,5,406,0,1,0,0,0,0,0,13,1.0,0,1.0
2000,3,79,1,0,0,0,0,0,0,12,1.0,0,1.0
5000,5,114,0,0,0,0,0,1,0,24,1.0,1,1.0
3000,4,350,0,0,0,1,0,0,0,15,0.0,1,1.0
4500,5,67,0,0,0,1,0,0,1,20,0.0,0,1.0
3000,4,62,0,0,0,1,0,0,0,22,0.0,0,1.0
6000,6,127,0,0,0,1,0,0,0,15,1.0,1,1.0
3500,4,64,0,1,0,0,0,0,0,18,1.0,1,1.0
7000,8,68,0,1,0,0,0,0,1,7,1.0,1,1.0
2324,4,74,0,0,0,0,0,1,0,17,1.0,1,1.0
1200,4,102,0,0,0,1,0,0,0,22,1.0,1,1.0
3000,4,92,0,0,0,1,0,0,0,22,0.0,1,1.0
5000,7,45,0,0,1,0,0,0,0,8,0.0,0,1.0
10000,5,96,1,0,0,0,0,0,1,24,1.0,1,1.0
3000,3,111,1,0,0,0,0,0,1,22,1.0,1,1.0
3500,3,102,1,0,0,0,0,0,0,18,0.0,1,1.0
3000,1,113,0,0,0,1,0,0,0,29,0.0,1,1.0
3000,4,126,1,0,0,0,0,0,0,16,0.0,1,1.0
5000,5,158,0,0,1,0,0,0,1,12,1.0,1,0.0
3000,4,34,0,0,0,0,0,1,0,20,1.0,1,1.0
5000,7,306,0,0,0,1,0,0,0,17,1.0,0,1.0
3000,5,424,1,0,0,0,0,0,1,18,0.0,1,1.0
3000,4,95,0,0,1,0,0,0,1,12,1.0,1,1.0
4900,5,443,1,0,0,0,0,0,0,12,0.0,1,1.0
3700,4,101,1,0,0,0,0,0,0,20,0.0,0,1.0
3000,4,182,1,0,0,0,0,0,1,20,0.0,1,1.0
999,3,60,0,0,0,0,0,1,0,33,0.0,1,1.0
1000,6,130,1,0,0,0,0,0,0,9,0.0,1,1.0
2000,3,115,1,0,0,0,0,0,0,19,0.0,1,1.0
3000,7,52,0,0,0,0,0,1,1,8,1.0,0,1.0
4900,8,98,0,0,0,0,0,1,0,9,1.0,1,1.0
3000,4,126,0,0,0,1,0,0,0,13,0.0,1,1.0
6000,5,103,0,0,0,1,0,0,0,17,0.0,1,0.0
6000,4,102,1,0,0,0,0,0,0,17,0.0,1,1.0
4000,4,167,0,0,0,0,1,0,0,19,0.0,1,1.0
3000,4,72,0,0,0,0,0,1,0,26,0.0,0,1.0
2000,9,104,1,0,0,0,0,0,0,7,1.0,0,1.0
2000,5,162,0,0,0,0,0,1,0,18,0.0,0,1.0
3000,3,161,1,0,0,0,0,0,0,13,0.0,0,1.0
2000,4,45,0,0,0,0,1,0,0,10,1.0,1,1.0
3000,3,76,1,0,0,0,0,0,0,10,1.0,1,0.0
500,3,37,0,0,0,0,0,1,0,9,0.0,1,1.0
5000,7,90,0,0,1,0,0,0,0,19,1.0,0,1.0
5000,5,59,0,0,0,1,0,0,0,18,0.0,0,1.0
5700,5,71,0,0,0,0,1,0,0,22,0.0,0,1.0
6000,9,106,0,0,0,0,0,1,0,24,1.0,1,1.0
3000,7,10,1,0,0,0,0,0,0,9,0.0,1,1.0
3000,3,71,1,0,0,0,0,0,0,13,0.0,1,1.0
6000,8,39,1,0,0,0,0,0,1,15,0.0,1,1.0
1000,7,185,1,0,0,0,0,0,0,18,0.0,0,1.0
1000,7,213,1,0,0,0,0,0,0,17,0.0,1,0.0
5500,9,278,0,0,0,1,0,0,0,19,0.0,1,0.0
3500,7,326,1,0,0,0,0,0,0,20,1.0,1,1.0
6500,5,140,1,0,0,0,0,0,0,10,1.0,1,0.0
8000,6,235,0,0,0,0,1,0,0,20,1.0,1,0.0
6000,6,245,1,0,0,0,0,0,0,13,1.0,1,1.0
5000,5,159,1,0,0,0,0,0,0,18,1.0,0,1.0
6200,5,314,0,0,1,0,0,0,0,15,0.0,0,1.0
5000,7,161,0,1,0,0,0,0,0,10,0.0,1,1.0
6000,7,158,0,0,0,1,0,0,1,20,0.0,0,1.0
1680,5,29,0,0,1,0,0,0,0,15,0.0,0,1.0
1545,8,63,0,0,1,0,0,0,1,13,1.0,0,1.0
3000,7,336,1,0,0,0,0,0,0,17,0.0,0,1.0
5000,5,98,1,0,0,0,0,0,0,5,1.0,0,1.0
3500,6,122,1,0,0,0,0,0,0,9,0.0,0,1.0
3640,9,252,1,0,0,0,0,0,0,6,1.0,0,1.0
1500,5,286,1,0,0,0,0,0,0,17,0.0,1,1.0
2100,7,514,0,0,0,1,0,0,0,27,1.0,1,1.0
3000,1,355,0,0,0,0,0,1,1,16,0.0,1,1.0
2000,8,326,0,0,1,0,0,0,0,24,1.0,1,1.0
1500,7,72,1,0,0,0,0,0,0,13,1.0,0,1.0
4390,6,240,1,0,0,0,0,0,1,9,1.0,1,1.0
1600,4,135,0,0,0,0,1,0,0,17,0.0,1,1.0
1800,4,159,0,0,0,0,1,0,1,17,1.0,1,1.0
4000,8,205,0,0,0,0,0,1,0,31,0.0,1,1.0
850,3,253,1,0,0,0,0,0,1,19,1.0,0,1.0
2100,5,68,0,0,0,0,0,1,0,20,1.0,1,1.0
